player_name,position,pick_no,drafter,source_url,pulled_date,notes
Jalen Hurts,QB,16,Todd Fuhrman,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Justin Herbert,QB,17,Jake Grogins,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
De'Von Achane,RB,18,R.J. White,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"resolved from ""D. Achane RB MIA"" -- an early single-pass extraction had briefly misread pick 18 as ""De'Andre Washington""; corrected via two independent later passes"
Justin Jefferson,WR,19,Jamey Eisenberg,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"the veteran Vikings WR (team MIN confirms) -- not the unrelated 2026 rookie sharing the same name"
Jayden Daniels,QB,20,Robert Thomas,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Chase Brown,RB,21,Dan Schneier,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Omarion Hampton,RB,22,Adam Aizer,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Trevor Lawrence,QB,23,Jack Capotorto,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Saquon Barkley,RB,24,Meron Berkson,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Drake London,WR,25,Meron Berkson,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Kenneth Walker III,RB,26,Jack Capotorto,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team KC; his real team is Seattle -- CBS's own table appears stale here, not an identification issue"
A.J. Brown,WR,27,Adam Aizer,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team NE; his real team is Philadelphia -- CBS's own table appears stale here, not an identification issue"
Caleb Williams,QB,28,Dan Schneier,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Nico Collins,WR,29,Robert Thomas,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Brock Purdy,QB,30,Jamey Eisenberg,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Rashee Rice,WR,31,R.J. White,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Brock Bowers,TE,32,Jake Grogins,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Chris Olave,WR,33,Todd Fuhrman,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Derrick Henry,RB,34,Tommy Tran,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
George Pickens,WR,35,Heath Cummings,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Trey McBride,TE,36,Production Squad FC,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Malik Nabers,WR,37,Production Squad FC,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Zay Flowers,WR,38,Heath Cummings,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Colston Loveland,TE,39,Tommy Tran,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Travis Etienne,RB,40,Todd Fuhrman,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team NO; his real team is Jacksonville -- CBS's own table appears stale here"
Garrett Wilson,WR,41,Jake Grogins,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
DeVonta Smith,WR,42,R.J. White,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Ashton Jeanty,RB,43,Jamey Eisenberg,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Jaxson Dart,QB,44,Robert Thomas,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Jaylen Waddle,WR,45,Dan Schneier,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team DEN; his real team is Miami -- CBS's own table appears stale here"
Jared Goff,QB,46,Adam Aizer,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Ladd McConkey,WR,47,Jack Capotorto,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Tetairoa McMillan,WR,48,Meron Berkson,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Javonte Williams,RB,49,Meron Berkson,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Tee Higgins,WR,50,Jack Capotorto,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
DJ Moore,WR,51,Adam Aizer,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team BUF; his real team is Chicago -- CBS's own table appears stale here"
Luther Burden III,WR,52,Dan Schneier,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Kyren Williams,RB,53,Robert Thomas,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
D'Andre Swift,RB,54,Jamey Eisenberg,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Emeka Egbuka,WR,55,R.J. White,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Breece Hall,RB,56,Jake Grogins,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Bo Nix,QB,57,Todd Fuhrman,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Quinshon Judkins,RB,58,Tommy Tran,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Jeremiyah Love,RB,59,Heath Cummings,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,rookie -- also present in the CBS/analyst rookie signal used by rookie_player_values
Patrick Mahomes,QB,60,Production Squad FC,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Jordan Love,QB,61,Production Squad FC,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"disambiguated from Jeremiyah Love (pick 59) by position (QB) and team (GB)"
Sam LaPorta,TE,62,Heath Cummings,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Matthew Stafford,QB,63,Tommy Tran,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Parker Washington,WR,64,Todd Fuhrman,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,lower-confidence name resolution
Bhayshul Tuten,RB,65,Jake Grogins,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
David Montgomery,RB,66,R.J. White,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team HOU; his real team is Detroit -- CBS's own table appears stale here"
Kyler Murray,QB,67,Jamey Eisenberg,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team MIN; his real team is Arizona -- CBS's own table appears stale here"
Tyler Warren,TE,68,Robert Thomas,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Baker Mayfield,QB,69,Dan Schneier,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Tyler Shough,QB,70,Adam Aizer,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Davante Adams,WR,71,Jack Capotorto,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Terry McLaurin,WR,72,Meron Berkson,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Malik Willis,QB,73,Meron Berkson,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Bucky Irving,RB,74,Jack Capotorto,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Daniel Jones,QB,75,Adam Aizer,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Jameson Williams,WR,76,Dan Schneier,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"disambiguated from Javonte Williams (pick 49) by position (WR) and team (DET)"
Christian Watson,WR,77,Robert Thomas,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Jadarian Price,RB,78,Jamey Eisenberg,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,rookie -- also present in the CBS/analyst rookie signal used by rookie_player_values
Tucker Kraft,TE,79,R.J. White,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Rhamondre Stevenson,RB,80,Jake Grogins,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Cam Skattebo,RB,81,Todd Fuhrman,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Marvin Harrison Jr.,WR,82,Tommy Tran,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
C.J. Stroud,QB,83,Heath Cummings,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Chris Godwin,WR,84,Production Squad FC,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Jonathon Brooks,RB,85,Production Squad FC,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,lower-confidence name resolution
Rome Odunze,WR,86,Heath Cummings,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Mike Evans,WR,87,Tommy Tran,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team SF; his real team is Tampa Bay -- CBS's own table appears stale here"
Quentin Johnston,WR,88,Todd Fuhrman,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Marshawn Lloyd,RB,89,Jake Grogins,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Jacoby Brissett,QB,90,R.J. White,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Sam Darnold,QB,91,Jamey Eisenberg,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
TreVeyon Henderson,RB,92,Robert Thomas,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Aaron Rodgers,QB,93,Dan Schneier,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Brian Thomas Jr.,WR,94,Adam Aizer,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Courtland Sutton,WR,95,Jack Capotorto,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Cam Ward,QB,96,Meron Berkson,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Carnell Tate,WR,97,Meron Berkson,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,rookie -- also present in the CBS/analyst rookie signal used by rookie_player_values
Isaiah Likely,TE,98,Jack Capotorto,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team NYG; his real team is Baltimore -- CBS's own table appears stale here"
Jaylen Warren,RB,99,Adam Aizer,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
De'Zhaun Stribling,WR,100,Dan Schneier,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,rookie -- also present in the CBS/analyst rookie signal used by rookie_player_values
DK Metcalf,WR,101,Robert Thomas,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Kyle Pitts,TE,102,Jamey Eisenberg,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Geno Smith,QB,103,R.J. White,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team NYJ; his real team is Las Vegas -- CBS's own table appears stale here"
Deebo Samuel,WR,104,Jake Grogins,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team SF; his real team is Washington -- CBS's own table appears stale here"
Kenny Gainwell,RB,105,Todd Fuhrman,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Michael Wilson,WR,106,Tommy Tran,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Bryce Young,QB,107,Heath Cummings,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
George Kittle,TE,108,Production Squad FC,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Tony Pollard,RB,109,Production Squad FC,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Michael Penix,QB,110,Heath Cummings,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Jordan Mason,RB,111,Tommy Tran,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Blake Corum,RB,112,Todd Fuhrman,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Stefon Diggs,WR,113,Jake Grogins,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team WAS; his real team is New England -- CBS's own table appears stale here"
Rico Dowdle,RB,114,R.J. White,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team PIT; his real team is Carolina -- CBS's own table appears stale here"
Jayden Reed,WR,115,Jamey Eisenberg,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Jacory Croskey-Merritt,RB,116,Robert Thomas,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Jordan Addison,WR,117,Dan Schneier,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Josh Downs,WR,118,Adam Aizer,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
J.K. Dobbins,RB,119,Jack Capotorto,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Alec Pierce,WR,120,Meron Berkson,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
RJ Harvey,RB,121,Meron Berkson,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Harold Fannin Jr.,TE,122,Jack Capotorto,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Kyle Monangai,RB,123,Adam Aizer,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Chuba Hubbard,RB,124,Dan Schneier,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Michael Pittman Jr.,WR,125,Robert Thomas,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team PIT; his real team is Indianapolis -- CBS's own table appears stale here; moderate confidence on identity"
Jordyn Tyson,WR,128,Jake Grogins,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,rookie -- also present in the CBS/analyst rookie signal used by rookie_player_values
Dalton Kincaid,TE,129,Todd Fuhrman,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
KC Concepcion,WR,130,Tommy Tran,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,rookie -- also present in the CBS/analyst rookie signal used by rookie_player_values
Aaron Jones,RB,132,Production Squad FC,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Matthew Golden,WR,133,Production Squad FC,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Tua Tagovailoa,QB,134,Heath Cummings,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team ATL; his real team is Miami -- CBS's own table appears stale here"
Romeo Doubs,WR,136,Todd Fuhrman,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team NE; his real team is Green Bay -- CBS's own table appears stale here"
Jonah Coleman,RB,137,Jake Grogins,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,rookie -- also present in the CBS/analyst rookie signal used by rookie_player_values
Jakobi Meyers,WR,138,R.J. White,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team JAC; his real team is Las Vegas -- CBS's own table appears stale here"
Zach Charbonnet,RB,139,Jamey Eisenberg,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Fernando Mendoza,QB,140,Robert Thomas,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,rookie -- also present in the CBS/analyst rookie signal used by rookie_player_values
Rachaad White,RB,141,Dan Schneier,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team WAS; his real team is Tampa Bay -- CBS's own table appears stale here"
Travis Kelce,TE,142,Adam Aizer,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Josh Jacobs,RB,143,Jack Capotorto,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Dallas Goedert,TE,144,Meron Berkson,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Makai Lemon,WR,145,Meron Berkson,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,rookie -- also present in the CBS/analyst rookie signal used by rookie_player_values
Woody Marks,RB,146,Jack Capotorto,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Xavier Worthy,WR,147,Adam Aizer,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Emmett Johnson,RB,148,Dan Schneier,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,rookie -- also present in the CBS/analyst rookie signal used by rookie_player_values
Tyler Allgeier,RB,149,Robert Thomas,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team ARI; his real team is Atlanta -- CBS's own table appears stale here"
Denzel Boston,WR,152,Jake Grogins,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,rookie -- also present in the CBS/analyst rookie signal used by rookie_player_values
Dontayvion Wicks,WR,153,Todd Fuhrman,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team PHI; his real team is Green Bay -- CBS's own table appears stale here; moderate confidence on identity"
Caleb Douglas,WR,154,Tommy Tran,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,rookie -- also present in the CBS/analyst rookie signal used by rookie_player_values
Tyjae Spears,RB,155,Heath Cummings,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Tank Bigsby,RB,158,Heath Cummings,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team PHI; his real team is Jacksonville -- CBS's own table appears stale here"
Kirk Cousins,QB,159,Tommy Tran,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team LV; his real team is Atlanta -- CBS's own table appears stale here"
Chris Bell,WR,160,Todd Fuhrman,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,rookie -- also present in the CBS/analyst rookie signal used by rookie_player_values
Deshaun Watson,QB,161,Jake Grogins,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Kimani Vidal,RB,162,R.J. White,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Khalil Shakir,WR,163,Jamey Eisenberg,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Shedeur Sanders,QB,164,Robert Thomas,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Dylan Sampson,RB,168,Meron Berkson,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Kayshon Boutte,WR,170,Jack Capotorto,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team HOU; his real team is New England -- CBS's own table appears stale here"
Isiah Pacheco,RB,171,Adam Aizer,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team DET; his real team is Kansas City -- CBS's own table appears stale here"
Mark Andrews,TE,172,Dan Schneier,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Justice Hill,RB,178,Tommy Tran,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Ray Davis,RB,180,Production Squad FC,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Jalen McMillan,WR,181,Production Squad FC,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Braelon Allen,RB,182,Heath Cummings,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Pat Bryant,WR,184,Todd Fuhrman,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Chris Brooks,RB,187,Jamey Eisenberg,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Brenton Strange,TE,191,Jack Capotorto,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Dalton Schultz,TE,192,Meron Berkson,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Rashid Shaheed,WR,197,Robert Thomas,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,"source table lists team SEA; his real team is New Orleans -- CBS's own table appears stale here"
George Holani,RB,199,R.J. White,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
James Conner,RB,204,Production Squad FC,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
